selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
4.6,2015,23853,21.79,998,67.05,7,0,0,0,1,0,1,0
4.5,2013,78000,22.32,1582,126.3,9,1,0,0,0,1,1,0
7.15,2017,79000,17.5,1199,88.7,5,0,0,0,1,1,1,0
1.3,2015,156000,25,1396,69,7,1,0,0,0,1,1,0
4,2012,37323,17,1497,118,10,0,0,0,1,1,1,0
2.95,2017,22000,23.01,999,67,5,0,0,0,1,1,1,0
6.15,2017,95000,28.4,1248,74,5,1,0,0,0,1,1,0
2.7,2014,39000,21.1,814,55.2,8,0,0,0,1,1,1,0
1.5,2006,80000,15.3,1596,101,16,0,0,0,1,1,1,0
1.75,2014,70000,22.74,796,47.3,8,0,0,0,1,1,1,0
2.4,2016,203125,15.37,1196,73,6,0,0,0,1,1,1,0
6.95,2016,24603,20.73,1373,91.1,6,0,0,0,1,1,1,0
4.5,2014,59000,24.2,1498,98.6,8,1,0,0,0,1,0,1
1.7,2013,36000,16.1,796,37,9,0,0,0,1,1,0,0
16,2013,80000,18.88,1995,184,9,1,0,0,0,0,1,0
9.5,2018,75000,25.47,1248,88.5,4,1,0,0,0,1,0,1
4.15,2012,64198,21.9,1396,90,10,1,0,0,0,1,1,0
2.5,2011,57342,15.6,1196,70,11,0,0,0,1,1,1,0
4.4,2018,15000,20.51,998,67.04,4,0,0,0,1,1,1,0
6,2016,60000,17.19,1197,81.86,6,0,0,0,1,1,1,0
6.5,2014,60000,16.02,1373,93.7,8,0,0,0,1,1,0,1
4.75,2013,42000,25.8,1498,98.6,9,1,0,0,0,1,1,0
4.5,2015,57226,23.1,998,67.04,7,0,0,0,1,0,1,0
2.4,2016,50000,24.7,796,47.3,6,0,0,0,1,1,1,0
9.25,2018,17843,17.1,1199,88.51,4,0,0,0,1,0,1,0
5.3,2015,61000,15.04,1598,103.2,7,0,0,0,1,1,1,0
5.2,2018,40000,21.4,1197,83.1,4,0,0,0,1,1,1,0
5.3,2017,38343,18.9,1197,81.86,5,0,0,0,1,1,1,0
3.9,2014,56494,24,1120,70,8,1,0,0,0,1,1,0
4.25,2018,120000,22.95,1248,74,4,1,0,0,0,1,1,0
6.6,2014,46000,20.45,1461,83.8,8,1,0,0,0,1,1,0
3.25,2013,32545,20.36,1197,78.9,9,0,0,0,1,1,1,0
9.35,2018,26718,24.7,1498,98.63,4,1,0,0,0,1,1,0
2.9,2013,60000,16.95,1498,97.7,9,0,0,0,1,1,1,0
1.6,2013,80000,21.1,814,55.2,9,0,0,0,1,1,1,0
1.95,2012,72046,23.08,1461,63.1,10,1,0,0,0,1,1,0
16.75,2018,17750,16,2179,140,4,1,0,0,0,0,0,1
12.45,2018,20000,17.4,1497,117.6,4,0,0,0,1,1,1,0
7.7,2015,15000,22.77,1498,98.59,7,1,0,0,0,1,1,0
6.25,2013,75842,22.32,1582,126.32,9,1,0,0,0,0,1,0
4.15,2013,61950,19.4,1198,86.8,9,0,0,0,1,1,1,0
4.2,2016,70000,23.1,998,67.04,6,0,0,0,1,1,1,0
3.85,2015,60200,21.94,1196,61.7,7,0,0,0,0,1,1,0
9.51,2019,13000,24.3,1248,88.5,3,1,0,0,0,1,1,0
6,2013,90000,20.77,1248,88.76,9,1,0,0,0,1,0,1
4,2019,70000,15.37,1196,73,3,0,0,0,1,1,1,0
2.61,2010,41000,21.1,1197,85.8,12,0,0,0,1,1,1,0
8.85,2017,34000,24.52,1248,88.5,5,1,0,0,0,1,0,1
4.1,2019,10000,23.01,999,67,3,0,0,0,1,1,1,0
5.99,2014,53247,22.8,1373,80.9,8,0,0,0,0,1,0,1
5.6,2018,10000,20.14,1197,81.86,4,0,0,0,1,1,1,0
5.35,2015,55000,23.2,1248,73.94,7,1,0,0,0,1,1,0
1.15,2007,60000,17.5,1396,70,15,1,0,0,0,1,1,0
7.15,2015,37000,17.4,1497,117.3,7,0,0,0,1,1,1,0
1.4,2013,50000,16.8,796,34.2,9,0,0,0,1,1,0,1
7.75,2017,114000,24.3,1248,88.5,5,1,0,0,0,1,1,0
7.35,2013,61034,20.77,1248,88.8,9,1,0,0,0,1,0,1
13.5,2012,69000,19.62,1998,190,10,1,0,0,0,0,1,0
2.35,2008,54000,17.92,1086,62.1,14,0,0,0,1,1,1,0
7.25,2018,24381,18.5,1197,83.14,4,0,0,0,1,0,1,0
16.5,2018,68000,16,2179,140,4,1,0,0,0,1,0,1
3,2014,92500,25.8,1498,98.6,8,1,0,0,0,1,1,0
3.35,2015,19000,18.5,1198,86.8,7,0,0,0,1,1,1,0
8.25,2017,41000,21.5,1497,108.5,5,1,0,0,0,1,1,0
5.75,2010,52000,12.5,1991,147.9,12,1,0,0,0,0,0,1
6.95,2016,820000,17.21,1197,103.5,6,0,0,0,1,0,1,0
2.5,2009,69000,22.3,1248,74,13,1,0,0,0,1,1,0
5,2015,40000,15.04,1598,103.2,7,0,0,0,1,1,1,0
2.5,2011,120000,22.9,1248,74,11,1,0,0,0,1,1,0
5.5,2015,32000,18.6,1197,81.83,7,0,0,0,1,1,1,0
